Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Abdulai Juma Bah,SLE,DF,19.0,Nice,FRA-Ligue 1,1958,21.76,0,0,0.0,0.0,2,0,18,30,7,0,0.0,0.0,0.0,85,40,34.0,35.68
Abdullah Yiğiter,TUR,GK,25.0,Antalyaspor,TUR-Super Lig,1260,14.0,0,0,0.0,0.0,0,0,0,0,3,0,37.0,6.0,21.0,90,40,34.0,32.94
Abdulsamet Burak,TUR,DF,29.0,Kayserispor,TUR-Super Lig,375,4.17,0,0,0.0,0.0,0,5,3,6,3,0,0.0,0.0,0.0,90,40,34.0,29.47
Abdurrahim Dursun,TUR,"DF,MF",26.0,Gençlerbirliği,TUR-Super Lig,667,7.41,0,1,0.0,0.13,1,27,16,7,2,0,0.0,0.0,0.0,90,40,34.0,30.62
Abdón Prats,ESP,FW,32.0,Mallorca,ESP-La Liga,143,1.59,0,0,0.0,0.0,2,1,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.5
Abdülkadir Ömür,TUR,MF,26.0,Antalyaspor,TUR-Super Lig,1316,14.62,0,1,0.0,0.07,10,32,22,10,2,0,0.0,0.0,0.0,90,40,34.0,33.16
Abdülkerim Bardakcı,TUR,DF,30.0,Galatasaray,TUR-Super Lig,2541,28.23,0,1,0.0,0.04,5,28,26,25,5,0,0.0,0.0,0.0,90,100,34.0,94.91
Abel Bretones,ESP,"MF,DF",24.0,Osasuna,ESP-La Liga,1624,18.04,1,2,0.06,0.11,3,34,12,16,5,1,0.0,0.0,0.0,95,40,38.0,33.7
Abel Ruiz,ESP,FW,25.0,Girona,ESP-La Liga,187,2.08,0,0,0.0,0.0,1,2,1,1,0,0,0.0,0.0,0.0,95,75,38.0,53.73
Abner,BRA,"DF,MF",25.0,Lyon,FRA-Ligue 1,2150,23.89,3,2,0.13,0.08,7,61,24,8,4,1,0.0,0.0,0.0,85,70,34.0,63.76
Aboubaka Soumahoro,FRA,"MF,DF",20.0,Hamburger SV,GER-Bundesliga,136,1.51,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0.0,0.0,90,40,34.0,28.53
Abu Kamara,ENG,MF,22.0,Getafe,ESP-La Liga,256,2.84,0,0,0.0,0.0,1,9,2,3,1,0,0.0,0.0,0.0,95,40,38.0,28.9
Achraf Hakimi,MAR,DF,26.0,PSG,FRA-Ligue 1,1375,15.28,2,2,0.13,0.13,9,43,13,11,3,1,0.0,0.0,0.0,85,100,34.0,83.48
