player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Franck Honorat,fr FRA,"MF,FW",Gladbach,28,GER-Bundesliga,1977,2,6,0,0,13,5,134,5,,,
Mathias Honsak,at AUT,"MF,FW",Heidenheim,28,GER-Bundesliga,1249,2,1,1,0,12,17,25,8,,,
Andreas Hountondji,bj BEN,FW,St Pauli,23,GER-Bundesliga,1067,4,0,2,0,0,0,20,13,,,
Robin Hranáč,cz CZE,DF,Hoffenheim,25,GER-Bundesliga,2251,1,0,5,0,15,20,6,3,,,
Timo Hübers,de GER,DF,Köln,29,GER-Bundesliga,675,0,0,0,0,9,10,1,0,,,
Denis Huseinbasic,ba BIH,MF,Köln,24,GER-Bundesliga,726,0,0,1,0,9,5,1,0,,,
Oscar Højlund,dk DEN,MF,Frankfurt,20,GER-Bundesliga,1089,1,1,4,1,17,7,2,3,,,
Arijon Ibrahimović,de GER,"MF,FW",Heidenheim,19,GER-Bundesliga,2169,2,4,2,0,18,23,127,19,,,
Andrej Ilic,rs SRB,FW,Union Berlin,25,GER-Bundesliga,2257,5,10,5,0,3,2,18,26,,,
Samuele Inácio,it ITA,MF,Dortmund,17,GER-Bundesliga,384,1,0,2,0,2,2,11,5,,,
Cyriaque Irié,bf BFA,MF,Freiburg,20,GER-Bundesliga,347,0,0,3,0,6,3,3,2,,,
Jackson Irvine,au AUS,MF,St Pauli,32,GER-Bundesliga,1624,0,1,2,1,17,28,13,4,,,
Hiroki Ito,jp JPN,DF,Bayern Munich,26,GER-Bundesliga,920,1,2,0,0,3,13,7,3,,,
Nicolas Jackson,sn SEN,FW,Bayern Munich,24,GER-Bundesliga,1007,8,1,2,1,4,4,7,21,,,
Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,32,GER-Bundesliga,2185,4,2,4,0,21,25,31,9,,,
Kristijan Jakić,hr CRO,"MF,DF",Augsburg,28,GER-Bundesliga,1653,2,1,5,0,25,17,4,6,,,
Karl Jakob Hein,ee EST,GK,Werder Bremen,23,GER-Bundesliga,180,0,0,0,0,0,0,0,0,11,4,1
Luca Jaquez,ch SUI,DF,Stuttgart,22,GER-Bundesliga,898,0,1,1,0,7,11,1,0,,,
Bakery Jatta,gm GAM,MF,Hamburger SV,27,GER-Bundesliga,911,1,1,1,0,11,8,19,4,,,
Finn Jeltsch,de GER,DF,Stuttgart,19,GER-Bundesliga,1511,0,1,3,0,14,19,3,0,,,
Moritz Jenz,de GER,DF,Wolfsburg,26,GER-Bundesliga,1787,1,0,8,1,22,12,1,1,,,
Ísak Jóhannesson,is ISL,MF,Köln,22,GER-Bundesliga,1809,1,2,6,0,15,8,65,5,,,
Ricky-Jade Jones,eng ENG,FW,St Pauli,24,GER-Bundesliga,351,2,0,1,0,2,2,8,6,,,
Lazar Jovanović,rs SRB,FW,Stuttgart,18,GER-Bundesliga,40,0,0,0,0,0,0,0,0,,,
Anthony Jung,de GER,DF,Freiburg,33,GER-Bundesliga,526,0,0,2,0,1,10,0,0,,,
Josip Juranović,hr CRO,MF,Union Berlin,29,GER-Bundesliga,330,1,1,1,0,4,0,40,1,,,
Martijn Kaars,nl NED,FW,St Pauli,26,GER-Bundesliga,1348,3,1,2,0,5,0,15,10,,,
Ozan Kabak,tr TUR,DF,Hoffenheim,25,GER-Bundesliga,1751,4,0,5,0,17,26,2,12,,,
Almugera Kabar,de GER,DF,Dortmund,19,GER-Bundesliga,16,0,0,0,0,1,0,2,0,,,
Anton Kade,de GER,"MF,FW",Augsburg,21,GER-Bundesliga,1743,6,0,3,0,14,13,22,21,,,
Florian Kainz,at AUT,MF,Köln,32,GER-Bundesliga,279,1,1,1,0,2,3,21,4,,,
Arnaud Kalimuendo,fr FRA,"FW,MF",Frankfurt,23,GER-Bundesliga,1417,6,1,4,0,4,3,15,16,,,
Jakub Kamiński,pl POL,"MF,FW",Köln,23,GER-Bundesliga,3016,7,3,4,0,27,25,115,25,,,
Kevin Kampl,si SVN,MF,RB Leipzig,34,GER-Bundesliga,3,0,0,0,0,0,0,0,0,,,
Harry Kane,eng ENG,"FW,MF",Bayern Munich,32,GER-Bundesliga,2377,36,5,1,0,13,8,12,67,,,
Atakan Karazor,tr TUR,MF,Stuttgart,28,GER-Bundesliga,1884,0,1,5,1,27,15,7,2,,,
Lennart Karl,de GER,MF,Bayern Munich,17,GER-Bundesliga,1281,5,5,1,0,15,11,29,21,,,
Silas Katompa,cd COD,FW,Mainz 05,26,GER-Bundesliga,334,1,0,1,0,0,0,11,7,,,
Mikkel Kaufmann,dk DEN,FW,Heidenheim,24,GER-Bundesliga,537,1,1,2,0,2,1,1,3,,,
Sota Kawasaki,jp JPN,"MF,DF",Mainz 05,24,GER-Bundesliga,309,0,0,1,0,5,3,3,0,,,
Yannik Keitel,de GER,"MF,DF",Augsburg,25,GER-Bundesliga,248,0,0,2,0,4,2,0,0,,,
Thomas Keller,de GER,DF,Heidenheim,25,GER-Bundesliga,188,0,0,1,0,1,0,1,0,,,
Aljoscha Kemlein,de GER,MF,Union Berlin,20,GER-Bundesliga,1959,0,2,4,0,25,18,9,2,,,
Luca Kerber,de GER,MF,Heidenheim,23,GER-Bundesliga,682,2,0,3,0,11,3,4,3,,,
Bilal El Khannouss,ma MAR,"MF,FW",Stuttgart,21,GER-Bundesliga,1630,4,5,6,0,21,10,65,15,,,
Rani Khedira,tn TUN,MF,Union Berlin,31,GER-Bundesliga,2830,5,1,7,0,35,37,26,10,,,
Cassiano Kiala,de GER,DF,Bayern Munich,16,GER-Bundesliga,1,0,0,0,0,0,0,0,0,,,
Joshua Kimmich,de GER,MF,Bayern Munich,30,GER-Bundesliga,2280,2,8,4,0,26,24,126,10,,,
Carl Klaus,de GER,GK,Union Berlin,31,GER-Bundesliga,330,0,0,0,0,0,0,0,0,9,4,1
Tim Kleindienst,de GER,FW,Gladbach,29,GER-Bundesliga,7,0,0,0,0,1,1,0,0,,,
Lukas Klostermann,de GER,DF,RB Leipzig,29,GER-Bundesliga,95,0,1,0,0,0,1,0,1,,,
Ansgar Knauff,de GER,"MF,FW",Frankfurt,23,GER-Bundesliga,1326,4,1,3,0,10,9,39,14,,,
Gregor Kobel,ch SUI,GK,Dortmund,27,GER-Bundesliga,3060,0,0,3,0,0,0,0,0,88,34,15
Robin Koch,de GER,DF,Frankfurt,29,GER-Bundesliga,2833,3,1,3,1,27,47,2,5,,,
Christian Kofane,cm CMR,FW,Leverkusen,19,GER-Bundesliga,1239,5,4,3,0,7,2,0,19,,,
Derrick Köhn,gh GHA,"MF,DF",Union Berlin,26,GER-Bundesliga,1899,1,2,5,1,22,8,114,5,,,
