player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Brenden Aaronson,us USA,"MF,FW",Leeds United,24,ENG-Premier League,2449,4,5,3,0,27,17,37,17,,,
Jerome Abbey,eng ENG,MF,Wolves,15,ENG-Premier League,17,0,0,0,0,0,1,0,0,,,
Zach Abbott,eng ENG,DF,Nottingham,19,ENG-Premier League,164,0,0,0,0,4,2,3,0,,,
Tammy Abraham,eng ENG,FW,Aston Villa,27,ENG-Premier League,286,2,0,0,0,1,0,1,3,,,
Joshua Acheampong,eng ENG,DF,Chelsea,19,ENG-Premier League,666,1,0,1,0,8,12,1,2,,,
Tyler Adams,us USA,MF,Bournemouth,26,ENG-Premier League,1772,2,2,8,0,24,30,3,6,,,
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,ENG-Premier League,795,0,0,2,0,6,9,0,0,,,
Simon Adingra,ci CIV,"MF,FW",Sunderland,23,ENG-Premier League,653,1,0,2,0,8,2,27,2,,,
Amine Adli,ma MAR,MF,Bournemouth,25,ENG-Premier League,1094,3,1,2,0,17,6,39,9,,,
Emmanuel Agbadou,ci CIV,DF,Wolves,28,ENG-Premier League,1101,0,0,1,1,21,14,13,3,,,
Nayef Aguerd,ma MAR,DF,West Ham,29,ENG-Premier League,180,0,0,0,0,0,1,2,0,,,
Ola Aina,ng NGA,DF,Nottingham,28,ENG-Premier League,1588,0,0,3,0,21,26,39,1,,,
Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,ENG-Premier League,974,0,2,2,0,21,13,22,2,,,
Kristoffer Ajer,no NOR,DF,Brentford,27,ENG-Premier League,1810,0,1,4,0,23,15,7,3,,,
Nathan Aké,nl NED,DF,Manchester City,30,ENG-Premier League,695,0,0,1,0,6,5,4,1,,,
Carlos Alcaraz,ar ARG,MF,Everton,22,ENG-Premier League,689,0,1,4,0,9,2,6,5,,,
Omar Alderete,py PAR,DF,Sunderland,28,ENG-Premier League,2798,1,1,6,0,18,36,11,9,,,
Alisson,br BRA,GK,Liverpool,32,ENG-Premier League,2340,0,0,1,0,0,0,0,0,57,31,8
Max Alleyne,eng ENG,DF,Manchester City,20,ENG-Premier League,135,0,0,0,0,3,3,0,1,,,
Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,20,ENG-Premier League,10,0,0,0,0,0,0,0,0,,,
Zeki Amdouni,ch SUI,"FW,MF",Burnley,24,ENG-Premier League,73,0,0,0,0,0,0,0,1,,,
Ethan Ampadu,wls WAL,MF,Leeds United,24,ENG-Premier League,3119,1,1,10,0,46,50,25,6,,,
Joachim Andersen,dk DEN,DF,Fulham,29,ENG-Premier League,2875,0,1,7,1,26,34,15,4,,,
Elliot Anderson,eng ENG,MF,Nottingham,22,ENG-Premier League,3331,4,4,8,0,60,41,175,10,,,
André,br BRA,MF,Wolves,24,ENG-Premier League,2762,1,0,12,0,42,25,40,1,,,
Nilson Angulo,ec ECU,MF,Sunderland,22,ENG-Premier League,404,0,0,1,0,7,5,7,3,,,
Jaidon Anthony,eng ENG,MF,Burnley,25,ENG-Premier League,2722,8,2,4,0,21,16,80,23,,,
Alphonse Areola,fr FRA,GK,West Ham,32,ENG-Premier League,1800,0,1,0,0,0,1,0,0,76,37,0
Jhon Arias,co COL,"FW,MF",Wolves,27,ENG-Premier League,1124,1,0,1,0,27,7,30,3,,,
Adam Armstrong,eng ENG,"FW,MF",Wolves,28,ENG-Premier League,1140,2,2,3,0,4,1,5,6,,,
Harrison Armstrong,eng ENG,MF,Everton,18,ENG-Premier League,529,0,0,0,0,10,4,3,2,,,
Tolu Arokodare,ng NGA,FW,Wolves,24,ENG-Premier League,1419,3,1,1,0,4,5,0,16,,,
Kepa Arrizabalaga,es ESP,GK,Arsenal,30,ENG-Premier League,90,0,0,0,0,0,0,0,0,2,1,0
Taiwo Awoniyi,ng NGA,FW,Nottingham,27,ENG-Premier League,494,4,1,2,0,1,1,1,8,,,
Yasin Ayari,se SWE,MF,Brighton,21,ENG-Premier League,1929,3,3,1,0,25,26,24,10,,,
Benoît Badiashile,fr FRA,DF,Chelsea,24,ENG-Premier League,471,0,0,2,0,5,9,0,0,,,
Leon Bailey,jm JAM,MF,Aston Villa,27,ENG-Premier League,459,0,1,1,0,6,4,19,1,,,
Dilane Bakwa,fr FRA,MF,Nottingham,22,ENG-Premier League,553,0,2,1,0,3,0,38,3,,,
Carlos Baleba,cm CMR,MF,Brighton,21,ENG-Premier League,1652,0,0,5,0,21,28,0,2,,,
Daniel Ballard,nir NIR,DF,Sunderland,25,ENG-Premier League,2149,2,0,4,1,17,20,1,9,,,
Ross Barkley,eng ENG,MF,Aston Villa,31,ENG-Premier League,857,3,1,1,0,11,2,0,8,,,
Ashley Barnes,eng ENG,"FW,MF",Burnley,35,ENG-Premier League,46,0,0,2,0,0,0,0,1,,,
Harvey Barnes,eng ENG,"FW,MF",Newcastle,27,ENG-Premier League,1966,7,1,1,0,5,3,74,21,,,
Thierno Barry,fr FRA,FW,Everton,22,ENG-Premier League,1914,8,0,3,0,4,5,4,14,,,
Calvin Bassey,ng NGA,DF,Fulham,25,ENG-Premier League,2534,1,0,5,0,32,22,14,1,,,
Altay Bayındır,tr TUR,GK,Manchester Utd,27,ENG-Premier League,540,0,0,0,0,0,0,0,0,13,11,0
Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,27,ENG-Premier League,1248,1,1,5,0,15,9,25,7,,,
Walter Benítez,ar ARG,GK,Crystal Palace,32,ENG-Premier League,90,0,0,0,0,0,0,0,0,3,0,1
Rodrigo Bentancur,uy URU,MF,Tottenham,28,ENG-Premier League,1883,1,1,7,0,36,36,7,3,,,
Daniel Bentley,eng ENG,GK,Wolves,32,ENG-Premier League,270,0,0,0,0,0,0,0,0,7,7,0
Sander Berge,no NOR,MF,Fulham,27,ENG-Premier League,2905,0,1,5,0,41,26,13,3,,,
Lucas Bergvall,se SWE,MF,Tottenham,19,ENG-Premier League,965,1,3,2,0,14,3,19,5,,,
Beto,gw GNB,FW,Everton,27,ENG-Premier League,1568,9,1,3,0,5,1,2,17,,,
Jaka Bijol,si SVN,DF,Leeds United,26,ENG-Premier League,1890,1,2,4,0,13,22,1,6,,,
Yves Bissouma,ml MLI,MF,Tottenham,28,ENG-Premier League,603,0,0,4,0,11,8,1,2,,,
Marco Bizot,nl NED,GK,Aston Villa,34,ENG-Premier League,585,0,0,2,0,0,0,0,0,19,10,2
Oscar Bobb,no NOR,"MF,FW",Manchester City,22,ENG-Premier League,468,0,1,1,0,5,3,5,0,,,
Oscar Bobb,no NOR,MF,Fulham,22,ENG-Premier League,571,0,0,0,0,7,6,9,3,,,
Lamare Bogarde,nl NED,"MF,DF",Aston Villa,21,ENG-Premier League,1053,0,0,5,0,19,4,2,0,,,
Jayden Bogle,eng ENG,"MF,DF",Leeds United,25,ENG-Premier League,2793,1,2,6,0,43,30,67,4,,,
Sebastiaan Bornauw,be BEL,DF,Leeds United,26,ENG-Premier League,429,0,0,1,0,4,7,1,0,,,
Olivier Boscagli,fr FRA,DF,Brighton,27,ENG-Premier League,802,0,1,2,0,11,16,15,0,,,
Sven Botman,nl NED,DF,Newcastle,25,ENG-Premier League,1835,1,1,2,0,14,25,2,4,,,
Jarrod Bowen,eng ENG,"MF,FW",West Ham,28,ENG-Premier League,3403,9,11,4,0,28,27,148,28,,,
Conor Bradley,nir NIR,DF,Liverpool,22,ENG-Premier League,929,0,1,5,0,15,12,23,0,,,
Jarrad Branthwaite,eng ENG,DF,Everton,23,ENG-Premier League,680,1,0,1,0,6,11,3,2,,,
Brian Brobbey,nl NED,FW,Sunderland,23,ENG-Premier League,1927,7,1,6,0,2,0,2,18,,,
Armando Broja,al ALB,FW,Burnley,23,ENG-Premier League,860,1,1,0,0,3,3,3,6,,,
David Brooks,wls WAL,MF,Bournemouth,28,ENG-Premier League,1204,1,3,7,0,13,4,59,13,,,
Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,26,ENG-Premier League,1030,0,1,0,0,3,6,42,4,,,
Emi Buendía,ar ARG,MF,Aston Villa,28,ENG-Premier League,1755,6,2,6,0,27,13,10,13,,,
Hugo Bueno,es ESP,"MF,DF",Wolves,22,ENG-Premier League,2366,1,2,3,0,35,33,166,6,,,
Santiago Bueno,uy URU,DF,Wolves,26,ENG-Premier League,2553,3,1,4,0,30,27,6,7,,,
Facundo Buonanotte,ar ARG,MF,Chelsea,20,ENG-Premier League,45,0,0,0,0,0,0,0,0,,,
Facundo Buonanotte,ar ARG,MF,Leeds United,20,ENG-Premier League,39,0,0,1,0,0,1,2,0,,,
Dan Burn,eng ENG,DF,Newcastle,33,ENG-Premier League,2199,1,2,11,1,26,20,14,3,,,
Bradley Burrowes,eng ENG,MF,Aston Villa,17,ENG-Premier League,17,0,0,0,0,0,0,3,0,,,
Jun'ai Byfield,eng ENG,DF,Tottenham,16,ENG-Premier League,1,0,0,0,0,0,0,0,0,,,
Sam Byram,eng ENG,"DF,MF",Leeds United,31,ENG-Premier League,9,0,0,0,0,1,0,0,0,,,
Moisés Caicedo,ec ECU,MF,Chelsea,23,ENG-Premier League,2795,3,1,11,1,47,59,8,7,,,
Tom Cairney,sct SCO,MF,Fulham,34,ENG-Premier League,775,2,0,3,0,4,4,6,2,,,
Riccardo Calafiori,it ITA,DF,Arsenal,23,ENG-Premier League,1699,1,2,5,0,19,13,21,8,,,
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,ENG-Premier League,2721,14,1,3,0,4,5,9,34,,,
Jaydee Canvot,fr FRA,DF,Crystal Palace,19,ENG-Premier League,1336,0,0,3,0,22,12,5,1,,,
Rio Cardines,tt TRI,MF,Crystal Palace,19,ENG-Premier League,90,0,0,0,0,1,0,3,0,,,
Fabio Carvalho,pt POR,MF,Brentford,22,ENG-Premier League,102,1,0,0,0,2,0,5,1,,,
Casemiro,br BRA,MF,Manchester Utd,33,ENG-Premier League,2571,9,2,11,1,45,30,19,18,,,
Matty Cash,pl POL,DF,Aston Villa,27,ENG-Premier League,3014,3,3,9,0,32,24,131,10,,,
Timothy Castagne,be BEL,"DF,MF",Fulham,29,ENG-Premier League,1845,0,0,4,0,24,28,48,6,,,
Valentín Castellanos,ar ARG,FW,West Ham,26,ENG-Premier League,1384,6,0,6,0,9,6,9,22,,,
Trevoh Chalobah,eng ENG,DF,Chelsea,26,ENG-Premier League,2783,3,0,3,1,22,37,5,5,,,
Rayan Cherki,fr FRA,MF,Manchester City,21,ENG-Premier League,1786,4,12,1,0,16,7,80,13,,,
Federico Chiesa,it ITA,MF,Liverpool,27,ENG-Premier League,339,2,1,3,0,5,4,17,5,,,
Tawanda Chirewa,zw ZIM,MF,Wolves,21,ENG-Premier League,27,0,0,0,0,0,0,0,0,,,
Ryan Christie,sct SCO,MF,Bournemouth,30,ENG-Premier League,994,2,0,3,1,20,11,17,8,,,
Samuel Chukwueze,ng NGA,MF,Fulham,26,ENG-Premier League,1079,3,4,0,0,4,6,43,7,,,
Dennis Cirkin,lv LVA,DF,Sunderland,23,ENG-Premier League,323,0,0,2,0,5,5,3,0,,,
Nathaniel Clyne,eng ENG,"MF,DF",Crystal Palace,34,ENG-Premier League,594,0,1,1,0,9,7,15,0,,,
Séamus Coleman,ie IRL,DF,Everton,36,ENG-Premier League,21,0,0,0,0,0,0,3,0,,,
Nathan Collins,ie IRL,DF,Brentford,24,ENG-Premier League,2975,1,2,7,0,13,36,1,6,,,
Levi Colwill,eng ENG,DF,Chelsea,22,ENG-Premier League,225,0,0,0,0,2,5,1,0,,,
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28,ENG-Premier League,874,0,1,1,1,17,21,44,0,,,
Diego Coppola,it ITA,DF,Brighton,21,ENG-Premier League,194,0,0,2,0,2,1,0,0,,,
Marc Cucurella,es ESP,DF,Chelsea,27,ENG-Premier League,2707,1,4,8,1,40,28,41,6,,,
Jorge Cuenca,es ESP,DF,Fulham,25,ENG-Premier League,938,0,0,6,0,10,15,2,0,,,
Josh Cullen,ie IRL,MF,Burnley,29,ENG-Premier League,1514,2,2,2,0,19,24,12,6,,,
Jair Cunha,br BRA,DF,Nottingham,20,ENG-Premier League,517,0,0,0,0,5,5,2,1,,,
Matheus Cunha,br BRA,"MF,FW",Manchester Utd,26,ENG-Premier League,2494,10,2,4,0,23,21,49,35,,,
Diogo Dalot,pt POR,"DF,MF",Manchester Utd,26,ENG-Premier League,2614,1,3,5,0,30,26,57,6,,,
Mikkel Damsgaard,dk DEN,MF,Brentford,25,ENG-Premier League,2054,4,4,0,0,34,24,95,11,,,
Kevin Danso,at AUT,DF,Tottenham,26,ENG-Premier League,1494,0,0,8,0,13,25,7,2,,,
Karl Darlow,wls WAL,GK,Leeds United,34,ENG-Premier League,1980,0,0,1,0,0,0,0,0,63,27,5
Josh Dasilva,eng ENG,MF,Brentford,26,ENG-Premier League,3,0,0,0,0,0,0,0,0,,,
Ben Davies,wls WAL,DF,Tottenham,32,ENG-Premier League,137,1,0,1,0,4,1,3,2,,,
Maxim De Cuyper,be BEL,"DF,MF",Brighton,24,ENG-Premier League,1414,2,3,2,0,10,11,77,6,,,
Liam Delap,eng ENG,FW,Chelsea,22,ENG-Premier League,1107,1,0,4,0,3,1,6,11,,,
Sepp van den Berg,nl NED,DF,Brentford,23,ENG-Premier League,2763,0,2,2,0,9,26,0,7,,,
Jesse Derry,eng ENG,MF,Chelsea,18,ENG-Premier League,44,0,0,0,0,1,0,2,1,,,
Justin Devenny,nir NIR,"MF,FW",Crystal Palace,21,ENG-Premier League,796,1,0,0,0,11,1,17,4,,,
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,ENG-Premier League,2626,8,4,6,0,26,14,112,15,,,
Bafodé Diakité,fr FRA,DF,Bournemouth,24,ENG-Premier League,1277,0,0,1,0,15,10,1,0,,,
Amad Diallo,ci CIV,MF,Manchester Utd,23,ENG-Premier League,2341,2,3,2,0,23,15,46,23,,,
Habib Diarra,sn SEN,MF,Sunderland,21,ENG-Premier League,1405,2,2,6,0,7,4,32,8,,,
Rúben Dias,pt POR,DF,Manchester City,28,ENG-Premier League,2141,2,0,3,0,6,23,9,4,,,
Tyler Dibling,eng ENG,MF,Everton,19,ENG-Premier League,358,0,0,2,0,3,6,7,0,,,
Lucas Digne,fr FRA,DF,Aston Villa,32,ENG-Premier League,1852,0,6,3,0,26,13,108,5,,,
Issa Diop,ma MAR,DF,Fulham,28,ENG-Premier League,816,1,0,2,0,2,6,1,1,,,
El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham,20,ENG-Premier League,2707,0,5,6,0,19,32,109,4,,,
Axel Disasi,fr FRA,DF,West Ham,27,ENG-Premier League,1254,0,0,1,0,10,12,0,3,,,
Matt Doherty,ie IRL,"DF,MF",Wolves,33,ENG-Premier League,787,0,0,4,0,8,7,8,0,,,
Jeremy Doku,be BEL,"MF,FW",Manchester City,23,ENG-Premier League,1784,5,5,0,0,16,12,62,15,,,
Nicolás Domínguez,ar ARG,MF,Nottingham,27,ENG-Premier League,1175,1,1,3,0,30,6,14,5,,,
Gianluigi Donnarumma,it ITA,GK,Manchester City,26,ENG-Premier League,3060,0,0,8,0,0,1,0,0,75,29,15
Romelle Donovan,eng ENG,FW,Brentford,18,ENG-Premier League,41,0,0,0,0,0,0,2,1,,,
Patrick Dorgu,dk DEN,MF,Manchester Utd,20,ENG-Premier League,1449,4,4,5,0,30,16,57,11,,,
Max Dowman,eng ENG,MF,Arsenal,15,ENG-Premier League,157,1,0,0,0,2,1,6,1,,,
Radu Drăgușin,ro ROU,DF,Tottenham,23,ENG-Premier League,517,0,0,0,0,3,16,3,0,,,
Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,16,ENG-Premier League,9,0,0,0,0,1,0,0,0,,,
Martin Dúbravka,sk SVK,GK,Burnley,36,ENG-Premier League,3150,0,0,1,0,1,0,0,0,127,71,4
Lewis Dunk,eng ENG,DF,Brighton,33,ENG-Premier League,2838,1,0,10,0,22,30,5,3,,,
George Earthy,eng ENG,MF,West Ham,20,ENG-Premier League,9,0,0,0,0,0,0,0,0,,,
Odsonne Édouard,fr FRA,FW,Crystal Palace,27,ENG-Premier League,3,0,0,0,0,1,0,0,0,,,
Tom Edozie,eng ENG,MF,Wolves,19,ENG-Premier League,14,1,0,0,0,0,0,0,1,,,
Alysson Edward,br BRA,MF,Aston Villa,19,ENG-Premier League,49,0,0,0,0,0,1,2,0,,,
Marcus Edwards,eng ENG,"MF,FW",Burnley,26,ENG-Premier League,1067,1,3,0,0,6,3,19,6,,,
Hjalmar Ekdal,se SWE,DF,Burnley,26,ENG-Premier League,1539,0,0,0,0,17,12,1,1,,,
Hugo Ekitike,fr FRA,FW,Liverpool,23,ENG-Premier League,1803,11,4,0,0,7,4,7,19,,,
Anthony Elanga,se SWE,"FW,MF",Newcastle,23,ENG-Premier League,1319,0,1,0,0,11,3,83,4,,,
Melker Ellborg,se SWE,GK,Sunderland,22,ENG-Premier League,270,0,0,0,0,0,0,0,0,10,2,1
Harvey Elliott,eng ENG,MF,Aston Villa,22,ENG-Premier League,112,0,0,0,0,0,0,3,0,,,
Harvey Elliott,eng ENG,"FW,MF",Liverpool,22,ENG-Premier League,1,0,0,0,0,0,0,0,0,,,
Wataru Endo,jp JPN,DF,Liverpool,32,ENG-Premier League,175,0,1,1,0,3,0,3,0,,,
Romain Esse,eng ENG,MF,Crystal Palace,20,ENG-Premier League,44,0,0,0,0,1,0,2,0,,,
Dario Essugo,pt POR,MF,Chelsea,20,ENG-Premier League,30,0,0,2,0,3,0,0,0,,,
Maxime Estève,fr FRA,DF,Burnley,23,ENG-Premier League,2932,0,0,1,0,27,37,6,1,,,
Evanilson,br BRA,FW,Bournemouth,25,ENG-Premier League,2742,6,1,2,0,5,6,3,23,,,
Eberechi Eze,eng ENG,MF,Crystal Palace,27,ENG-Premier League,83,0,0,0,0,1,0,4,2,,,
Eberechi Eze,eng ENG,"MF,FW",Arsenal,27,ENG-Premier League,1812,7,2,1,0,13,11,8,18,,,
Bruno Fernandes,pt POR,MF,Manchester Utd,30,ENG-Premier League,3063,9,21,5,0,35,21,181,24,,,
Mateus Fernandes,pt POR,MF,West Ham,21,ENG-Premier League,3016,3,4,7,0,67,36,51,8,,,
Enzo Fernández,ar ARG,MF,Chelsea,24,ENG-Premier League,3115,10,4,10,0,24,20,89,31,,,
Zian Flemming,nl NED,FW,Burnley,26,ENG-Premier League,1769,11,0,5,0,10,6,6,21,,,
Jack Fletcher,eng ENG,MF,Manchester Utd,18,ENG-Premier League,108,0,0,0,0,1,1,0,0,,,
Tyler Fletcher,sct SCO,MF,Manchester Utd,18,ENG-Premier League,18,0,0,0,0,0,0,0,0,,,
Phil Foden,eng ENG,MF,Manchester City,25,ENG-Premier League,2086,7,5,4,0,16,10,119,19,,,
Wesley Fofana,fr FRA,DF,Chelsea,24,ENG-Premier League,1722,0,1,9,2,11,38,2,1,,,
Lyle Foster,za RSA,"FW,MF",Burnley,24,ENG-Premier League,1371,3,2,4,0,12,4,6,6,,,
Tyler Fredricson,eng ENG,DF,Manchester Utd,20,ENG-Premier League,3,0,0,0,0,0,0,0,0,,,
Jeremie Frimpong,nl NED,"DF,MF",Liverpool,24,ENG-Premier League,1040,0,1,1,0,9,6,51,2,,,
Niclas Füllkrug,de GER,FW,West Ham,32,ENG-Premier League,409,0,0,0,0,1,2,0,3,,,
Kaye Furo,be BEL,FW,Brentford,18,ENG-Premier League,1,0,0,0,0,0,0,0,0,,,
Cody Gakpo,nl NED,"MF,FW",Liverpool,26,ENG-Premier League,2737,7,5,3,0,15,12,86,21,,,
Conor Gallagher,eng ENG,MF,Tottenham,25,ENG-Premier League,1184,1,1,2,0,14,18,23,4,,,
Ben Gannon-Doak,sct SCO,MF,Bournemouth,19,ENG-Premier League,113,0,1,0,0,2,1,4,1,,,
Andrés García,es ESP,DF,Aston Villa,22,ENG-Premier League,86,0,0,0,0,4,0,4,0,,,
Alejandro Garnacho,ar ARG,MF,Chelsea,21,ENG-Premier League,1268,1,4,2,0,13,4,61,7,,,
James Garner,eng ENG,"MF,DF",Everton,24,ENG-Premier League,3413,2,7,12,0,72,57,205,14,,,
Lutsharel Geertruida,nl NED,"DF,MF",Sunderland,25,ENG-Premier League,1693,0,0,2,0,22,20,9,3,,,
Tyrique George,eng ENG,FW,Chelsea,19,ENG-Premier League,145,0,0,2,0,2,0,1,2,,,
Tyrique George,eng ENG,MF,Everton,19,ENG-Premier League,218,0,0,0,0,3,2,10,3,,,
Morgan Gibbs-White,eng ENG,MF,Nottingham,25,ENG-Premier League,3097,15,4,1,0,16,12,42,32,,,
Jamie Gittens,eng ENG,MF,Chelsea,20,ENG-Premier League,495,0,2,0,0,4,2,13,2,,,
Wilfried Gnonto,it ITA,FW,Leeds United,21,ENG-Premier League,537,0,1,3,0,13,3,20,0,,,
Angel Gomes,eng ENG,"MF,FW",Wolves,24,ENG-Premier League,461,0,0,1,0,5,1,12,2,,,
João Gomes,br BRA,MF,Wolves,24,ENG-Premier League,2829,1,1,10,0,68,36,31,7,,,
Rodrigo Gomes,pt POR,"MF,FW",Wolves,22,ENG-Premier League,960,3,0,0,0,18,11,24,6,,,
Toti Gomes,pt POR,DF,Wolves,26,ENG-Premier League,1424,0,0,2,1,11,13,11,2,,,
Diego Gómez,py PAR,"MF,FW",Brighton,22,ENG-Premier League,2120,5,1,9,0,49,19,23,14,,,
Joe Gomez,eng ENG,DF,Liverpool,28,ENG-Premier League,607,0,2,4,0,7,8,16,1,,,
Nicolás González,es ESP,MF,Manchester City,23,ENG-Premier League,1569,1,0,6,0,30,24,3,2,,,
Anthony Gordon,eng ENG,FW,Newcastle,24,ENG-Premier League,1795,6,2,3,1,13,3,69,20,,,
Ryan Gravenberch,nl NED,MF,Liverpool,23,ENG-Premier League,2992,5,3,5,0,35,44,8,13,,,
Archie Gray,eng ENG,"MF,DF",Tottenham,19,ENG-Premier League,1478,2,2,5,0,8,17,12,5,,,
Jack Grealish,eng ENG,MF,Everton,29,ENG-Premier League,1627,2,6,5,1,15,11,39,8,,,
Pascal Groß,de GER,MF,Brighton,34,ENG-Premier League,1636,1,3,2,0,17,11,119,9,,,
Brajan Gruda,de GER,MF,Brighton,21,ENG-Premier League,719,1,1,2,0,5,2,14,6,,,
Ilia Gruev,bg BUL,MF,Leeds United,25,ENG-Premier League,1323,0,3,3,0,13,14,16,1,,,
Gabriel Gudmundsson,se SWE,"DF,MF",Leeds United,26,ENG-Premier League,2631,0,0,6,1,47,28,88,3,,,
Marc Guéhi,eng ENG,DF,Crystal Palace,25,ENG-Premier League,1800,2,2,4,0,19,24,10,4,,,
Marc Guéhi,eng ENG,DF,Manchester City,25,ENG-Premier League,1350,1,1,2,0,12,25,7,5,,,
Evann Guessand,ci CIV,MF,Aston Villa,24,ENG-Premier League,588,0,1,0,0,9,3,10,5,,,
Evann Guessand,ci CIV,MF,Crystal Palace,24,ENG-Premier League,330,1,1,0,0,2,2,1,1,,,
Idrissa Gueye,sn SEN,MF,Everton,35,ENG-Premier League,2093,2,3,1,1,21,29,19,7,,,
Luis Guilherme,br BRA,FW,West Ham,19,ENG-Premier League,125,0,0,0,0,1,0,0,0,,,
Bruno Guimarães,br BRA,MF,Newcastle,27,ENG-Premier League,2453,9,5,6,0,41,16,82,23,,,
Marc Guiu,es ESP,FW,Sunderland,19,ENG-Premier League,15,0,0,0,0,0,0,0,0,,,
Marc Guiu,es ESP,FW,Chelsea,19,ENG-Premier League,257,0,1,1,0,0,0,0,2,,,
Angus Gunn,sct SCO,GK,Nottingham,29,ENG-Premier League,45,0,0,0,0,0,0,0,0,0,0,0
Malo Gusto,fr FRA,"DF,MF",Chelsea,22,ENG-Premier League,2261,2,3,5,1,23,30,58,6,,,
Joško Gvardiol,hr CRO,DF,Manchester City,23,ENG-Premier League,1372,2,2,2,0,13,16,2,6,,,
Viktor Gyökeres,se SWE,FW,Arsenal,27,ENG-Premier League,2224,14,1,5,0,5,1,8,22,,,
Erling Haaland,no NOR,FW,Manchester City,25,ENG-Premier League,2953,27,8,2,0,7,4,3,59,,,
Lewis Hall,eng ENG,DF,Newcastle,20,ENG-Premier League,2181,1,1,4,0,31,29,102,6,,,
Jack Harrison,eng ENG,FW,Leeds United,28,ENG-Premier League,269,0,0,0,0,2,4,17,2,,,
Quilindschy Hartman,nl NED,DF,Burnley,23,ENG-Premier League,1825,0,5,1,0,31,32,74,3,,,
Jorrel Hato,nl NED,DF,Chelsea,19,ENG-Premier League,1148,0,0,7,0,19,17,7,0,,,
Kai Havertz,de GER,"FW,MF",Arsenal,26,ENG-Premier League,581,2,3,1,0,5,1,6,4,,,
Ayden Heaven,eng ENG,DF,Manchester Utd,18,ENG-Premier League,924,0,1,2,0,13,1,1,0,,,
Jan Paul van Hecke,nl NED,DF,Brighton,25,ENG-Premier League,3210,3,3,9,0,31,45,23,10,,,
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,29,ENG-Premier League,1446,2,2,5,0,4,12,19,6,,,
George Hemmings,eng ENG,MF,Aston Villa,18,ENG-Premier League,27,0,0,0,0,0,0,0,0,,,
Dean Henderson,eng ENG,GK,Crystal Palace,28,ENG-Premier League,3330,0,0,5,0,0,1,0,0,104,51,11
Jordan Henderson,eng ENG,MF,Brentford,35,ENG-Premier League,1919,1,3,6,0,14,16,48,1,,,
Rico Henry,jm JAM,DF,Brentford,28,ENG-Premier League,1328,0,1,2,0,11,7,26,0,,,
Mads Hermansen,dk DEN,GK,West Ham,25,ENG-Premier League,1620,0,1,0,0,0,0,0,0,53,28,7
Aaron Hickey,sct SCO,"DF,MF",Brentford,23,ENG-Premier League,691,0,0,1,0,7,8,4,1,,,
James Hill,eng ENG,DF,Bournemouth,23,ENG-Premier League,2106,0,3,5,0,20,37,11,2,,,
Piero Hincapié,ec ECU,DF,Arsenal,23,ENG-Premier League,1792,1,2,2,0,26,26,33,2,,,
Jack Hinshelwood,eng ENG,MF,Brighton,20,ENG-Premier League,1741,4,3,0,0,13,6,7,15,,,
Ki-Jana Hoever,nl NED,"MF,DF",Wolves,23,ENG-Premier League,425,0,0,0,0,11,5,22,1,,,
Harry Howell,eng ENG,MF,Brighton,17,ENG-Premier League,94,0,0,0,0,0,0,4,0,,,
Callum Hudson-Odoi,eng ENG,MF,Nottingham,24,ENG-Premier League,1841,3,4,0,0,7,8,91,10,,,
Will Hughes,eng ENG,MF,Crystal Palace,30,ENG-Premier League,1571,0,0,7,0,16,15,45,0,,,
Trai Hume,nir NIR,"DF,MF",Sunderland,23,ENG-Premier League,3036,2,1,9,0,46,25,88,7,,,
Bashir Humphreys,eng ENG,"DF,MF",Burnley,22,ENG-Premier League,1578,0,0,6,0,17,11,17,3,,,
Omari Hutchinson,eng ENG,MF,Nottingham,21,ENG-Premier League,1688,1,5,1,0,11,11,133,11,,,
Igor,br BRA,DF,West Ham,27,ENG-Premier League,105,0,0,0,0,0,1,0,0,,,
Tim Iroegbunam,eng ENG,MF,Everton,22,ENG-Premier League,1487,0,2,9,0,44,22,3,1,,,
Andy Irving,sct SCO,MF,West Ham,25,ENG-Premier League,158,0,0,0,0,4,1,12,0,,,
Alexander Isak,se SWE,FW,Liverpool,25,ENG-Premier League,699,3,1,0,0,6,0,2,6,,,
Wilson Isidor,ht HAI,FW,Sunderland,24,ENG-Premier League,1165,6,0,1,0,8,2,0,17,,,
Alex Iwobi,ng NGA,MF,Fulham,29,ENG-Premier League,2419,4,3,3,0,18,15,88,15,,,
Daniel James,wls WAL,"FW,MF",Leeds United,27,ENG-Premier League,559,0,0,0,0,5,1,50,3,,,
