Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Maarten Vandevoordt,BEL,GK,23.0,RB Leipzig,GER-Bundesliga,1052,11.69,0,0,0.0,0.0,0,0,0,0,0,0,30.0,2.0,15.0,90,90,34.0,72.28,Zor
Mads Hermansen,DEN,GK,25.0,West Ham,ENG-Premier League,1620,18.0,0,1,0.0,0.06,0,0,0,0,0,0,53.0,7.0,28.0,100,40,38.0,33.68,Zor
Mads Pedersen,DEN,MF,28.0,Augsburg,GER-Bundesliga,210,2.33,0,0,0.0,0.0,0,11,2,1,0,0,0.0,0.0,0.0,90,40,34.0,28.82,Zor
Maduka Okoye,NGA,GK,25.0,Udinese,ITA-Serie A,2616,29.07,0,0,0.0,0.0,0,0,0,0,1,1,80.0,10.0,37.0,90,40,48.28,35.23,Zor
Maestro,ANG,MF,21.0,Alanyaspor,TUR-Super Lig,1424,15.82,1,1,0.06,0.06,3,5,17,5,6,1,0.0,0.0,0.0,90,40,34.0,33.58,Zor
Maghnes Akliouche,FRA,"MF,FW",23.0,Monaco,FRA-Ligue 1,2400,26.67,6,6,0.22,0.22,19,53,26,18,3,0,0.0,0.0,0.0,85,70,34.0,65.47,Zor
Mahamadou Nagida,CMR,DF,20.0,Rennes,FRA-Ligue 1,805,8.94,0,0,0.0,0.0,3,20,12,20,2,0,0.0,0.0,0.0,85,40,34.0,31.16,Zor
Mahamadou Susoho,ESP,MF,20.0,Kocaelispor,TUR-Super Lig,513,5.7,0,0,0.0,0.0,0,2,7,5,0,0,0.0,0.0,0.0,90,40,34.0,30.01,Zor
Mahdi Camara,FRA,MF,27.0,Rennes,FRA-Ligue 1,2653,29.48,3,1,0.1,0.03,12,28,33,27,5,1,0.0,0.0,0.0,85,40,34.0,38.4,Zor
Mahmoud Dahoud,GER,"MF,FW",29.0,Frankfurt,GER-Bundesliga,716,7.96,2,3,0.25,0.38,2,8,8,10,0,0,0.0,0.0,0.0,90,75,34.0,57.77,Zor
Majid Hosseini,IRN,DF,29.0,Kayserispor,TUR-Super Lig,270,3.0,0,0,0.0,0.0,0,0,4,8,1,0,0.0,0.0,0.0,90,40,34.0,29.06,Zor
Malang Sarr,FRA,DF,26.0,Lens,FRA-Ligue 1,2925,32.5,0,1,0.0,0.03,5,10,44,76,4,0,0.0,0.0,0.0,85,70,34.0,69.07,Zor
Malcom Bokélé,CMR,DF,25.0,Göztepe,TUR-Super Lig,2648,29.42,3,0,0.1,0.0,5,14,12,30,10,1,0.0,0.0,0.0,90,40,34.0,38.38,Zor
Malick Fofana,BEL,"MF,FW",20.0,Lyon,FRA-Ligue 1,749,8.32,2,1,0.24,0.12,9,29,5,3,1,0,0.0,0.0,0.0,85,70,34.0,54.14,Zor
Malick Mbaye,SEN,MF,21.0,Metz,FRA-Ligue 1,300,3.33,0,0,0.0,0.0,1,8,8,3,1,0,0.0,0.0,0.0,85,40,34.0,29.18,Zor
Malick Thiaw,GER,DF,23.0,Newcastle,ENG-Premier League,2965,32.94,4,0,0.12,0.0,14,9,34,30,4,0,0.0,0.0,0.0,100,75,38.0,72.0,Zor
