Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani
Florian Thauvin,FRA,MF,32.0,Lens,FRA-Ligue 1,2443,27.14,11,6,0.41,0.22,27,202,17,11,6,0,0.0,0.0,0.0,85,70
Florian Wirtz,GER,MF,22.0,Liverpool,ENG-Premier League,2378,26.42,5,3,0.19,0.11,18,32,26,12,1,0,0.0,0.0,0.0,100,95
Fodé Ballo-Touré,SEN,"DF,MF",28.0,Metz,FRA-Ligue 1,836,9.29,0,0,0.0,0.0,1,16,16,5,2,0,0.0,0.0,0.0,85,40
Fodé Doucouré,MLI,"MF,FW",24.0,Le Havre,FRA-Ligue 1,1239,13.77,3,1,0.22,0.07,8,78,26,9,2,0,0.0,0.0,0.0,85,40
Fodé Sylla,FRA,MF,19.0,Lens,FRA-Ligue 1,99,1.1,0,0,0.0,0.0,0,0,6,3,0,0,0.0,0.0,0.0,85,70
Folarin Balogun,USA,FW,24.0,Monaco,FRA-Ligue 1,2230,24.78,13,4,0.52,0.16,32,14,6,4,4,1,0.0,0.0,0.0,85,70
Formose Mendy,SEN,DF,24.0,Lorient,FRA-Ligue 1,135,1.5,0,0,0.0,0.0,0,1,1,3,1,0,0.0,0.0,0.0,85,40
Fortuño,ESP,GK,23.0,Espanyol,ESP-La Liga,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,1.0,95,40
Fousseni Diabaté,MLI,MF,29.0,Kasımpaşa,TUR-Super Lig,1970,21.89,1,4,0.05,0.18,7,57,18,8,1,0,0.0,0.0,0.0,90,40
Fran Beltrán,ESP,MF,26.0,Girona,ESP-La Liga,1540,17.11,1,0,0.06,0.0,4,10,19,19,3,0,0.0,0.0,0.0,95,75
Fran Garcia,ESP,"DF,MF",25.0,Real Madrid,ESP-La Liga,929,10.32,1,1,0.1,0.1,2,28,12,6,2,1,0.0,0.0,0.0,95,100
Francesco Acerbi,ITA,DF,37.0,Inter,ITA-Serie A,1378,15.31,0,1,0.0,0.07,1,3,9,18,3,0,0.0,0.0,0.0,90,95
Francesco Camarda,ITA,FW,17.0,Lecce,ITA-Serie A,687,7.63,1,0,0.13,0.0,3,1,1,0,1,0,0.0,0.0,0.0,90,40
Francesco Coppola,ITA,DF,20.0,Pisa,ITA-Serie A,458,5.09,0,0,0.0,0.0,0,2,5,5,3,0,0.0,0.0,0.0,90,40
Francesco Esposito,ITA,FW,20.0,Inter,ITA-Serie A,1571,17.46,7,3,0.4,0.17,23,4,5,5,1,0,0.0,0.0,0.0,90,95
Francesco Folino,ITA,DF,23.0,Cremonese,ITA-Serie A,722,8.02,1,0,0.12,0.0,1,1,4,2,1,0,0.0,0.0,0.0,90,40
Francis Abu,GHA,MF,24.0,Toulouse,FRA-Ligue 1,526,5.84,0,0,0.0,0.0,0,0,12,8,2,0,0.0,0.0,0.0,85,40
Francis Coquelin,FRA,MF,34.0,Nantes,FRA-Ligue 1,655,7.28,0,1,0.0,0.14,1,1,13,5,2,0,0.0,0.0,0.0,85,40
Francisco Conceição,POR,"MF,FW",22.0,Juventus,ITA-Serie A,2078,23.09,3,5,0.13,0.22,23,92,26,7,3,0,0.0,0.0,0.0,90,85
Francisco Perez,ESP,"MF,FW",22.0,Rayo Vallecano,ESP-La Liga,1237,13.74,2,1,0.15,0.07,8,48,10,2,4,0,0.0,0.0,0.0,95,40
Francisco Sierralta,CHI,DF,28.0,Auxerre,FRA-Ligue 1,861,9.57,1,0,0.1,0.0,2,0,6,9,2,0,0.0,0.0,0.0,85,40
Franck Honorat,FRA,"MF,FW",28.0,Gladbach,GER-Bundesliga,1977,21.97,2,6,0.09,0.27,5,134,13,5,0,0,0.0,0.0,0.0,90,40
Franco Carboni,ITA,MF,22.0,Parma,ITA-Serie A,114,1.27,0,0,0.0,0.0,0,3,1,2,0,0,0.0,0.0,0.0,90,40
Franco Israel,URU,GK,25.0,Torino,ITA-Serie A,810,9.0,0,0,0.0,0.0,0,0,0,0,1,0,24.0,3.0,18.0,90,40
Franco Mastantuono,ARG,"MF,FW",17.0,Real Madrid,ESP-La Liga,1037,11.52,1,0,0.09,0.0,7,31,12,3,5,1,0.0,0.0,0.0,95,100
Franco Tongya,ITA,MF,23.0,Gençlerbirliği,TUR-Super Lig,2267,25.19,5,3,0.2,0.12,19,12,27,12,6,1,0.0,0.0,0.0,90,40
Franco Vázquez,ARG,"FW,MF",36.0,Cremonese,ITA-Serie A,524,5.82,1,1,0.17,0.17,4,19,12,4,1,0,0.0,0.0,0.0,90,40
Frank Anguissa,CMR,MF,29.0,Napoli,ITA-Serie A,1258,13.98,4,1,0.29,0.07,9,15,14,13,1,0,0.0,0.0,0.0,90,90
Frank Feller,GER,GK,21.0,Heidenheim,GER-Bundesliga,270,3.0,0,0,0.0,0.0,0,0,1,0,0,0,15.0,0.0,5.0,90,40
Frank Magri,CMR,"FW,MF",25.0,Toulouse,FRA-Ligue 1,1253,13.92,5,1,0.36,0.07,12,15,3,3,3,0,0.0,0.0,0.0,85,40
Frank Onyeka,NGA,MF,27.0,Brentford,ENG-Premier League,92,1.02,0,1,0.0,0.98,0,0,0,0,0,0,0.0,0.0,0.0,100,40
Frantzdy Pierrot,HAI,FW,30.0,Rizespor,TUR-Super Lig,123,1.37,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,90,40
Fred,BRA,MF,32.0,Fenerbahçe,TUR-Super Lig,1478,16.42,3,4,0.18,0.24,16,33,23,22,3,0,0.0,0.0,0.0,90,100
Freddie Potts,ENG,MF,21.0,West Ham,ENG-Premier League,1171,13.01,0,1,0.0,0.08,1,34,18,16,1,0,0.0,0.0,0.0,100,40
Freddie Woodman,ENG,GK,28.0,Liverpool,ENG-Premier League,213,2.37,0,0,0.0,0.0,0,0,0,0,0,0,9.0,0.0,4.0,100,95
Frederic Guilbert,FRA,"DF,MF",30.0,Nantes,FRA-Ligue 1,607,6.74,0,0,0.0,0.0,2,17,12,19,1,0,0.0,0.0,0.0,85,40
Frederik Rønnow,DEN,GK,32.0,Union Berlin,GER-Bundesliga,2640,29.33,0,0,0.0,0.0,0,0,1,1,2,0,75.0,5.0,54.0,90,40
Fredrik Oppegard,NOR,"MF,DF",22.0,Auxerre,FRA-Ligue 1,1246,13.84,0,0,0.0,0.0,2,48,20,14,1,1,0.0,0.0,0.0,85,40
Frenkie de Jong,NED,MF,28.0,Barcelona,ESP-La Liga,1636,18.18,1,5,0.06,0.28,2,5,19,17,4,1,0.0,0.0,0.0,95,100
Furkan Ayaz,TUR,FW,15.0,Gençlerbirliği,TUR-Super Lig,20,0.22,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Furkan Bayır,TUR,DF,25.0,Göztepe,TUR-Super Lig,338,3.76,0,0,0.0,0.0,1,0,2,3,2,0,0.0,0.0,0.0,90,40
Furkan Bekleviç,TUR,GK,26.0,Karagümrük,TUR-Super Lig,180,2.0,0,0,0.0,0.0,0,0,0,0,0,0,3.0,1.0,1.0,90,40
Furkan Gedik,TUR,MF,23.0,Kocaelispor,TUR-Super Lig,39,0.43,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,90,40
Furkan Orak,TUR,DF,24.0,Rizespor,TUR-Super Lig,12,0.13,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40
Furkan Soyalp,TUR,MF,30.0,Kayserispor,TUR-Super Lig,1800,20.0,1,0,0.05,0.0,11,23,42,27,7,0,0.0,0.0,0.0,90,40
Fynn Schenten,GER,FW,17.0,Köln,GER-Bundesliga,100,1.11,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,90,40
Fyodor Chalov,RUS,"FW,MF",27.0,Kayserispor,TUR-Super Lig,854,9.49,2,1,0.21,0.11,7,6,2,3,1,0,0.0,0.0,0.0,90,40
Fábio Cardoso,POR,DF,31.0,Sevilla,ESP-La Liga,295,3.28,0,0,0.0,0.0,0,0,3,4,0,0,0.0,0.0,0.0,95,40
Fábio Silva,POR,"FW,MF",23.0,Dortmund,GER-Bundesliga,817,9.08,2,6,0.22,0.66,8,12,2,2,3,0,0.0,0.0,0.0,90,95
Félix Correia,POR,MF,24.0,Lille,FRA-Ligue 1,2053,22.81,4,5,0.18,0.22,8,84,13,21,2,0,0.0,0.0,0.0,85,70
Félix Lemaréchal,FRA,"MF,FW",21.0,Strasbourg,FRA-Ligue 1,555,6.17,0,2,0.0,0.32,2,15,6,3,1,0,0.0,0.0,0.0,85,40
Fıratcan Üzüm,TUR,"DF,MF",26.0,Gençlerbirliği,TUR-Super Lig,353,3.92,0,0,0.0,0.0,0,6,4,2,0,0,0.0,0.0,0.0,90,40
Gabin Bernardeau,FRA,MF,19.0,Nice,FRA-Ligue 1,95,1.06,0,0,0.0,0.0,1,5,4,0,0,0,0.0,0.0,0.0,85,40
Gabriel Gudmundsson,SWE,"DF,MF",26.0,Leeds United,ENG-Premier League,2631,29.23,0,0,0.0,0.0,3,88,47,28,6,1,0.0,0.0,0.0,100,40
Gabriel Jesus,BRA,FW,28.0,Arsenal,ENG-Premier League,429,4.77,3,0,0.63,0.0,12,0,0,2,3,0,0.0,0.0,0.0,100,95
Gabriel Magalhães,BRA,DF,27.0,Arsenal,ENG-Premier League,2751,30.57,3,4,0.1,0.13,7,6,20,22,4,0,0.0,0.0,0.0,100,95
Gabriel Martinelli,BRA,"FW,MF",24.0,Arsenal,ENG-Premier League,1081,12.01,1,4,0.08,0.33,13,37,8,1,3,0,0.0,0.0,0.0,100,95
Gabriel Osho,NGA,DF,26.0,Auxerre,FRA-Ligue 1,134,1.49,0,0,0.0,0.0,0,2,3,0,0,0,0.0,0.0,0.0,85,40
Gabriel Paulista,BRA,DF,34.0,Beşiktaş,TUR-Super Lig,863,9.59,0,1,0.0,0.1,2,0,6,6,1,0,0.0,0.0,0.0,90,100
Gabriel Sara,BRA,MF,26.0,Galatasaray,TUR-Super Lig,1834,20.38,5,4,0.25,0.2,13,128,17,11,1,0,0.0,0.0,0.0,90,100
Gabriel Strefezza,BRA,FW,28.0,Parma,ITA-Serie A,1007,11.19,2,2,0.18,0.18,7,41,12,5,3,0,0.0,0.0,0.0,90,40
Gabriel Suazo,CHI,"DF,MF",27.0,Sevilla,ESP-La Liga,2096,23.29,0,2,0.0,0.09,2,95,62,29,7,0,0.0,0.0,0.0,95,40
Gabriele Piccinini,ITA,MF,24.0,Pisa,ITA-Serie A,875,9.72,0,0,0.0,0.0,7,19,16,2,3,0,0.0,0.0,0.0,90,40
Gabriele Zappa,ITA,"DF,MF",25.0,Cagliari,ITA-Serie A,1597,17.74,0,3,0.0,0.17,2,37,17,18,2,0,0.0,0.0,0.0,90,40
Gaby Jean,FRA,DF,25.0,Lecce,ITA-Serie A,197,2.19,0,0,0.0,0.0,0,0,3,1,1,0,0.0,0.0,0.0,90,40
Gael Lafont,FRA,FW,19.0,Genoa,ITA-Serie A,8,0.09,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Gaetano Oristanio,ITA,"FW,MF",22.0,Parma,ITA-Serie A,859,9.54,1,0,0.1,0.0,4,16,6,2,1,0,0.0,0.0,0.0,90,40
Gaius Makouta,CGO,MF,28.0,Alanyaspor,TUR-Super Lig,2657,29.52,1,0,0.03,0.0,4,25,24,31,7,0,0.0,0.0,0.0,90,40
Gauthier Hein,FRA,"MF,FW",28.0,Metz,FRA-Ligue 1,2351,26.12,8,7,0.31,0.27,13,147,10,9,3,1,0.0,0.0,0.0,85,40
Gautier Lloris,FRA,DF,30.0,Le Havre,FRA-Ligue 1,2398,26.64,1,1,0.04,0.04,4,2,24,43,2,1,0.0,0.0,0.0,85,40
Gavi,ESP,MF,20.0,Barcelona,ESP-La Liga,573,6.37,0,1,0.0,0.16,0,2,8,3,3,0,0.0,0.0,0.0,95,100
Gaëtan Perrin,FRA,"MF,FW",29.0,Lille,FRA-Ligue 1,338,3.76,1,0,0.27,0.0,4,35,8,2,2,0,0.0,0.0,0.0,85,70
Gennaro Borrelli,ITA,FW,25.0,Cagliari,ITA-Serie A,1275,14.17,5,1,0.35,0.07,12,2,6,3,4,0,0.0,0.0,0.0,90,40
Geoffrey Kondogbia,CTA,"MF,DF",32.0,Marseille,FRA-Ligue 1,587,6.52,0,0,0.0,0.0,1,1,9,11,3,0,0.0,0.0,0.0,85,70
George Earthy,ENG,MF,20.0,West Ham,ENG-Premier League,9,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,40
George Hemmings,ENG,MF,18.0,Aston Villa,ENG-Premier League,27,0.3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,80
George Ilenikhena,NGA,FW,18.0,Monaco,FRA-Ligue 1,385,4.28,2,0,0.47,0.0,7,0,0,0,0,0,0.0,0.0,0.0,85,70
Georges Gomis,SEN,DF,17.0,Le Havre,FRA-Ligue 1,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40
Georges Mikautadze,GEO,FW,24.0,Villarreal,ESP-La Liga,2288,25.42,14,6,0.55,0.24,36,21,4,6,1,0,0.0,0.0,0.0,95,75
Georgi Dzhikiya,RUS,DF,31.0,Antalyaspor,TUR-Super Lig,1154,12.82,2,0,0.16,0.0,3,4,7,7,3,0,0.0,0.0,0.0,90,40
Georginio Rutter,FRA,"MF,FW",23.0,Brighton,ENG-Premier League,1786,19.84,3,3,0.15,0.15,14,20,19,11,2,0,0.0,0.0,0.0,100,75
Gerard Gumbau,ESP,MF,30.0,Rayo Vallecano,ESP-La Liga,1175,13.06,0,3,0.0,0.23,5,52,16,11,4,0,0.0,0.0,0.0,95,40
Gerard Martín,ESP,DF,23.0,Barcelona,ESP-La Liga,2119,23.54,0,0,0.0,0.0,4,14,29,31,6,0,0.0,0.0,0.0,95,100
Gerard Moreno,ESP,FW,33.0,Villarreal,ESP-La Liga,1343,14.92,10,0,0.67,0.0,16,11,8,3,0,0,0.0,0.0,0.0,95,75
German Onugkha,RUS,FW,29.0,Kayserispor,TUR-Super Lig,1887,20.97,8,1,0.38,0.05,21,2,6,0,3,0,0.0,0.0,0.0,90,40
Germán Valera,ESP,"MF,DF",23.0,Elche,ESP-La Liga,2857,31.74,4,5,0.13,0.16,8,104,40,23,5,1,0.0,0.0,0.0,95,40
Gerónimo Rulli,ARG,GK,33.0,Marseille,FRA-Ligue 1,2610,29.0,0,0,0.0,0.0,0,0,0,0,3,0,76.0,8.0,34.0,85,70
Gessime Yassine,MAR,MF,19.0,Strasbourg,FRA-Ligue 1,510,5.67,0,1,0.0,0.18,1,18,9,1,0,0,0.0,0.0,0.0,85,40
Giacomo Raspadori,ITA,FW,25.0,Atalanta,ESP-La Liga,1032,11.47,3,2,0.26,0.17,14,53,4,1,1,0,0.0,0.0,0.0,95,75
Gianluca Gaetano,ITA,"MF,FW",25.0,Cagliari,ITA-Serie A,1912,21.24,2,4,0.09,0.19,11,38,15,23,4,0,0.0,0.0,0.0,90,40
Gianluca Mancini,ITA,DF,29.0,Roma,ITA-Serie A,3059,33.99,4,2,0.12,0.06,8,29,28,47,9,0,0.0,0.0,0.0,90,75
Gianluca Scamacca,ITA,FW,26.0,Atalanta,ITA-Serie A,1315,14.61,10,1,0.68,0.07,22,0,5,3,2,0,0.0,0.0,0.0,90,75
Gianluigi Donnarumma,ITA,GK,26.0,Manchester City,ENG-Premier League,3060,34.0,0,0,0.0,0.0,0,0,0,1,8,0,75.0,15.0,29.0,100,100
Giannis Papanikolaou,GRE,MF,26.0,Rizespor,TUR-Super Lig,1835,20.39,1,0,0.05,0.0,2,2,33,24,6,1,0.0,0.0,0.0,90,40
Gideon Jung,GER,"MF,DF",30.0,Kayserispor,TUR-Super Lig,303,3.37,0,0,0.0,0.0,0,0,2,1,1,0,0.0,0.0,0.0,90,40
Gideon Mensah,GHA,DF,27.0,Auxerre,FRA-Ligue 1,2327,25.86,0,2,0.0,0.08,0,64,37,23,8,0,0.0,0.0,0.0,85,40
Gift Orban,NGA,FW,23.0,Hellas Verona,ITA-Serie A,2027,22.52,7,2,0.31,0.09,28,14,3,3,4,1,0.0,0.0,0.0,90,40
Gio Reyna,USA,MF,22.0,Gladbach,GER-Bundesliga,520,5.78,1,0,0.17,0.0,2,9,6,4,1,0,0.0,0.0,0.0,90,40
Gioele Zacchi,ITA,GK,22.0,Sassuolo,ITA-Serie A,8,0.09,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Giorgi Abuashvili,GEO,"MF,FW",22.0,Metz,FRA-Ligue 1,698,7.76,2,0,0.26,0.0,9,38,8,5,1,0,0.0,0.0,0.0,85,40
Giorgi Gocholeishvili,GEO,MF,24.0,Hamburger SV,GER-Bundesliga,940,10.44,0,2,0.0,0.19,2,20,14,7,3,1,0.0,0.0,0.0,90,40
Giorgi Kvilitaia,GEO,FW,31.0,Metz,FRA-Ligue 1,495,5.5,2,0,0.36,0.0,7,0,6,0,1,0,0.0,0.0,0.0,85,40
Giorgi Mamardashvili,GEO,GK,24.0,Liverpool,ENG-Premier League,867,9.63,0,0,0.0,0.0,0,0,1,1,0,0,33.0,2.0,18.0,100,95
Giorgio Scalvini,ITA,DF,21.0,Atalanta,ITA-Serie A,1808,20.09,3,1,0.15,0.05,6,5,23,38,2,0,0.0,0.0,0.0,90,75
Giovane,BRA,"FW,MF",21.0,Hellas Verona,ITA-Serie A,1871,20.79,3,5,0.14,0.24,27,67,9,6,2,0,0.0,0.0,0.0,90,40
Giovani Lo Celso,ARG,MF,29.0,Real Betis,ESP-La Liga,1393,15.48,2,3,0.13,0.19,11,61,13,6,4,0,0.0,0.0,0.0,95,40
Giovanni Bonfanti,ITA,"DF,MF",22.0,Pisa,ITA-Serie A,494,5.49,0,0,0.0,0.0,1,12,6,7,1,0,0.0,0.0,0.0,90,40
Giovanni Di Lorenzo,ITA,"DF,MF",31.0,Napoli,ITA-Serie A,2276,25.29,2,1,0.08,0.04,9,38,26,9,1,0,0.0,0.0,0.0,90,90
Giovanni Fabbian,ITA,MF,22.0,Bologna,ITA-Serie A,1173,13.03,2,0,0.15,0.0,6,6,6,6,2,0,0.0,0.0,0.0,90,40
Giovanni Simeone,ARG,FW,30.0,Torino,ITA-Serie A,2230,24.78,11,0,0.44,0.0,28,9,9,5,1,0,0.0,0.0,0.0,90,40
Giuliano Simeone,ARG,"MF,FW",22.0,Atlético Madrid,ESP-La Liga,2099,23.32,4,6,0.17,0.26,14,48,25,20,2,0,0.0,0.0,0.0,95,92
Giuseppe Ambrosino,ITA,FW,21.0,Napoli,ITA-Serie A,38,0.42,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,90
Giuseppe Pezzella,ITA,"MF,DF",27.0,Cremonese,ITA-Serie A,2585,28.72,0,1,0.0,0.03,0,128,32,11,8,1,0.0,0.0,0.0,90,40
Gleison Bremer,BRA,DF,28.0,Juventus,ITA-Serie A,2171,24.12,4,3,0.17,0.12,9,1,14,30,5,0,0.0,0.0,0.0,90,85
Glen Kamara,FIN,MF,29.0,Rennes,FRA-Ligue 1,61,0.68,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40
Godfried Frimpong,NED,DF,26.0,Kasımpaşa,TUR-Super Lig,2194,24.38,0,1,0.0,0.04,1,57,13,26,1,0,0.0,0.0,0.0,90,40
