Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Chema,ESP,MF,20.0,Stuttgart,GER-Bundesliga,1310,14.56,3,0,0.21,0.0,6,0,16,31,5,0,0.0,0.0,0.0,90,75,34.0,62.14,Zor
Chemsdine Talbi,MAR,"MF,FW",20.0,Sunderland,ENG-Premier League,1561,17.34,4,1,0.23,0.06,10,50,6,3,0,0,0.0,0.0,0.0,100,40,38.0,33.48,Zor
Cher Ndour,ITA,MF,21.0,Fiorentina,ITA-Serie A,1876,20.84,3,0,0.14,0.0,8,20,17,15,2,0,0.0,0.0,0.0,90,40,48.28,33.18,Zor
Cherif Ndiaye,SEN,"FW,MF",29.0,Samsunspor,TUR-Super Lig,1420,15.78,7,1,0.44,0.06,12,4,11,0,4,1,0.0,0.0,0.0,90,40,34.0,33.57,Zor
Chibuike Nwaiwu,NGA,DF,22.0,Trabzonspor,TUR-Super Lig,1309,14.54,3,1,0.21,0.07,5,1,19,21,0,0,0.0,0.0,0.0,90,90,34.0,74.55,Zor
Chidera Ejuke,NGA,"MF,FW",27.0,Sevilla,ESP-La Liga,932,10.36,1,1,0.1,0.1,3,27,13,7,0,0,0.0,0.0,0.0,95,40,38.0,31.27,Zor
Chidozie Awaziem,NGA,DF,28.0,Nantes,FRA-Ligue 1,2231,24.79,1,2,0.04,0.08,4,2,20,20,7,0,0.0,0.0,0.0,85,40,34.0,36.75,Zor
Chris Führich,GER,MF,27.0,Stuttgart,GER-Bundesliga,1698,18.87,7,7,0.37,0.37,23,86,9,3,2,0,0.0,0.0,0.0,90,75,34.0,64.99,Zor
Chris Richards,USA,DF,25.0,Crystal Palace,ENG-Premier League,2827,31.41,1,0,0.03,0.0,2,14,35,43,4,0,0.0,0.0,0.0,100,70,38.0,66.36,Zor
Chris Wood,NZL,FW,33.0,Nottingham,ENG-Premier League,901,10.01,3,0,0.3,0.0,9,1,1,1,0,0,0.0,0.0,0.0,100,40,38.0,31.16,Zor
Chrislain Matsima,FRA,DF,23.0,Augsburg,GER-Bundesliga,1489,16.54,1,1,0.06,0.06,1,4,11,30,5,0,0.0,0.0,0.0,90,40,34.0,33.84,Zor
Christ Inao Oulaï,CIV,MF,19.0,Trabzonspor,TUR-Super Lig,2067,22.97,2,4,0.09,0.17,7,26,27,22,9,0,0.0,0.0,0.0,90,90,34.0,81.24,Orta
Christian Eriksen,DEN,MF,33.0,Wolfsburg,GER-Bundesliga,2410,26.78,3,9,0.11,0.34,14,131,20,18,4,0,0.0,0.0,0.0,90,40,34.0,37.45,Zor
Christian Günter,GER,DF,32.0,Freiburg,GER-Bundesliga,1547,17.19,0,3,0.0,0.17,0,73,12,10,3,0,0.0,0.0,0.0,90,40,34.0,34.07,Zor
Christian Kabasele,BEL,DF,34.0,Udinese,ITA-Serie A,2247,24.97,3,0,0.12,0.0,6,0,13,33,5,1,0.0,0.0,0.0,90,40,48.28,34.21,Zor
Christian Kofane,CMR,FW,19.0,Leverkusen,GER-Bundesliga,1239,13.77,5,4,0.36,0.29,19,0,7,2,3,0,0.0,0.0,0.0,90,85,34.0,69.83,Zor
Christian Mawissa,FRA,"DF,MF",20.0,Monaco,FRA-Ligue 1,1191,13.23,0,0,0.0,0.0,1,5,25,15,4,0,0.0,0.0,0.0,85,70,34.0,57.17,Zor
Christian Ordoñez,ARG,MF,21.0,Parma,ITA-Serie A,1091,12.12,1,0,0.08,0.0,2,12,13,9,5,1,0.0,0.0,0.0,90,40,48.28,31.01,Zor
Christian Pulisic,USA,FW,26.0,Milan,ITA-Serie A,1609,17.88,8,4,0.45,0.22,25,37,8,3,0,0,0.0,0.0,0.0,90,80,48.28,64.89,Zor
Christoph Baumgartner,AUT,MF,25.0,RB Leipzig,GER-Bundesliga,2780,30.89,13,8,0.42,0.26,35,6,40,22,10,0,0.0,0.0,0.0,90,90,34.0,87.53,Kolay
Christopher Lungoyi,SUI,"MF,FW",25.0,Gaziantep,TUR-Super Lig,1796,19.96,3,2,0.15,0.1,17,18,15,5,7,0,0.0,0.0,0.0,90,40,34.0,35.04,Zor
Christopher Nkunku,FRA,FW,27.0,Milan,ITA-Serie A,1356,15.07,7,3,0.46,0.2,16,17,2,2,0,0,0.0,0.0,0.0,90,80,48.28,63.49,Zor
Christopher Opéri,CIV,DF,28.0,Başakşehir,TUR-Super Lig,1821,20.23,0,4,0.0,0.2,2,66,17,22,3,0,0.0,0.0,0.0,90,75,34.0,65.89,Zor
